"institution.name","collection","object_name","object_number","title","description","edition","creator","creator.role","production.place","production.date.start","production.date.start.prec","production.date.notes","production.date.end","production.date.end.prec","material","material.part","technique","technique.part","dimension.notes","dimension.part","dimension.value","dimension.unit","acquisition.date","acquisition.method","acquisition.place","exhibition","exhibition.date.start","exhibition.date.end","exhibition.venue.place","related_object.association","related_object.reference","related_object.title"
"Design Museum Gent","","broodbord","1989-0078_021-103","Broodbord 28 A Seagull","Broodbord modelnummer 28 A behorende tot het servies 'Seagull' met gouden randjes. De serviesonderdelen zijn klassiek van vorm, maar het decor sluit aan bij een nieuw thema dat de art nouveau aanboorde, met name de natuur. Op een dégradé blauwe achtergrond zweeft een zeemeeuw door het luchtruim, zeepaardjes fungeren als handvatten van schalen en kommen. Het model van het servies - met schubbenmotief in reliëf - dateert uit de jaren 1880 en is van August Hallin. Het decor met de zeemeeuw is van de hand van Fanny Garde en dateert van 1895. Vanaf de jaren 1950 was het servies in één op tien Deense huishoudens te vinden, waardoor het werd bestempeld als het 'nationale Deense servies'. Er bestaat ook een versie zonder gouden randje.","","Garde, Fanny","ontwerper","Kopenhagen","1895","","datum ontwerp","","","porselein","geheel","vormgieten","","","geheel","2","cm","1990","aankoop","Gent","","","","","","",""
"Design Museum Gent","","vaas","1987-1384","Vaas 28 met klaprozen","Aardewerken vaas modelnummer 28 met polychroom decor van donkerroze klaprozen tegen een donkere ondergrond. De vaas is glanzend geglazuurd.
","","Plateelbakkerij Zuid-Holland","uitvoerder","Gouda","1900","circa","","1915","circa","aardewerk","geheel","vormgieten","","","geheel","30.3","cm","1987","legaat","Den Haag","Collectie in progress","2016-05-18","2018-04-02","Gent","","",""
"Design Museum Gent","","vaas","1408","Vaas met wijnranken","Cilindrische vaas met wijde halsopening en bolling boven de standring. De vaas is paars geglazuurd in soufflé-techniek. Onder de halsrand is rondom een wijnrank met afhangende bladeren geschilderd in blauwtonen.","","Ruskin Pottery","uitvoerder","Verenigd Koninkrijk","1910","","dit object is gedateerd op basis van datum op object","1910","","keramiek","geheel","draaien (pottenbakkerstechniek)","","","geheel","22","cm","","aankoop","Gent","Tentoonstelling 1900","1985-03-21","1985-07-20","Brussel","","",""
"Design Museum Gent","","ontwerptekening","1996-0013_1-2","Ontwerptekening melkkan Bambou","Ontwerptekening voor de melkkan Bambou. Centraal op de flank van de melkkan is een waaier op steel (uchiwa) afgebeeld. De banderol over de waaier biedt ruimte voor eventuele eigenaarsinitialen. Ze is omgeven door dauwbraamtakken met bloemen en rijpe vruchten. Zoals dat ook in botanische boeken vaak het geval was, zijn de diverse bloeistadia van de plant hier gelijktijdig afgebeeld. Functionele onderdelen als pootjes, greep en schenktuit imiteren bamboestengels. Het ontwerp is kleurrijk uitgewerkt in aquarel en gouache, wat een uitvoering in verguld zilver met niëllo en email kan doen vermoeden. Daarvan bestaat echter geen enkel tastbaar bewijs.","","Wolfers, Philippe","ontwerper","Brussel","1885","circa","dit object is gedateerd door Ko Goubert","1890","circa","tekenpapier","geheel","tekenen","geheel","","tekening","217","mm","1997","schenking","Gent","","","","","","",""
"Design Museum Gent","","vaas","1987-1025","Vaas","Vaas van opaak rood glas, groenig-geel iriserend, uit twee geblazen vormen opgebouwd. In het oppervlak van de buik is een golvend lijnenpatroon uitgewerkt dat aan veren doet denken.
De vaas is waarschijnlijk vervaardigd in Bohemen, maar wacht nog op een preciezere toeschrijving aan een glasfabriek.
Het verenpatroon op de buik toont verwantschap met het veel voorkomende decor Phänomen G(en)re 166 van Glasfabrik Johann Lötz Witwe.","","onbekend","uitvoerder","Bohemen","1900","circa","dit object is gedateerd op basis van stilistische kenmerken","1930","circa","glas (materiaal)","geheel","blazen (modelleren)","geheel","","geheel","24","cm","1987","legaat","Den Haag","","","","","","",""
"Design Museum Gent","modelfragmenten","paneel (objectnaam)","0843","Paneel met maaswerk","Smal massief paneel met gevlamd maaswerk. Maaswerk met visblaasmotieven was kenmerkend voor het laatgotische raamwerk van vensters.","","onbekend","ontwerper","","1400","","datum uitvoering","1499","","eikenhout","geheel","","","","geheel","38","cm","1913","legaat","","Gotische meubels, meubelfragmenten en textiel uit eigen verzamelingen","1982-06-19","1982-09-26","Gent","","",""
"Design Museum Gent","","documenthouder","1987-1162","Vrouwenfiguur met brievenhouder","Gepatineerd bronzen beeldje van een vrouw die een map openhoudt die als brievenrekje dienst doet. De vrouw is gekleed in een soepel vallend gewaad, dat op antieke wijze bijeen wordt gehouden met knopen en kettingen. De boord van het gewaad is afgezet met een brede rand met paardekastanjebladeren. De vrouw draagt het haar in een typische Belle Époque-chignon. De gladde dubbele map is aan de buitenzijden gedecoreerd met een drie waterlelies op slingerende stengels die aan hetzelfde plompeblad ontspringen.
De Amerikaanse Elsie Ward Hering heeft meerdere exemplaren van deze brievenhouder vervaardigd. Er is een exemplaar in zink gekend en een in messing of verguld wit metaal.","","Ward Herring, Elsie","ontwerper","Verenigde Staten","1900","vermoedelijk","","1923","vermoedelijk","brons","geheel","metaalbewerken","","","geheel","32.5","cm","1987","legaat","Den Haag","Ravissante Revelaties","2014-04-26","2014-08-31","Gent","","",""
"Design Museum Gent","","melkkan","1994-0059_1-3","Roomkan 2122","Tinnen roomkan behorend tot een roomstel, vervaardigd onder de merknaam Orivit. Het gladde oppervlak is onderbroken door een spaarzaam elegant vegetaal lijnenspel dat klaprozen met elkaar verbindt. De roomkan draagt het modelnummer 2122.","","Orivit-Metallwarenfabrik A.G.","uitvoerder","Keulen","1898","","","1905","","tinwerk","geheel","metaalbewerken","","","geheel","8","cm","1994","schenking","Sint-Amandsberg","Collectie in progress","2016-05-18","2018-04-02","Gent","","",""
"Design Museum Gent","jaren 1970","kom","1980-0010_0-2","Leerdam Unica MG 78161","De reeks 'Leerdam Unica' omvat de unieke creaties van Glasfabriek Leerdam naast de serieproductie. Mieke Groot ontwierp verschillende unica, waaronder deze kom met deksel. Het deksel in transparant glas is versierd met een grote bloem. De kom is uitgevoerd in lichtgroen opaak glas.","","Groot, Mieke","ontwerper","Leerdam","1978","","","1978","","glas (materiaal)","geheel","","","","","","","1980","aankoop","Leerdam","Hedendaags glas uit eigen kollekties","1993-12-22","1994-02-13","Gent","","",""
"Design Museum Gent","jaren 1970","vaas","1980-0011","Leerdam Unica MG 78157","De reeks 'Leerdam Unica' omvat de unieke creaties van Glasfabriek Leerdam naast de serieproductie. Mieke Groot ontwierp verschillende unica, waaronder deze bolvormige, lilakleurige vaas.","","Groot, Mieke","ontwerper","Leerdam","1978","","","1978","","glas (materiaal)","geheel","","","","geheel","22.4","cm","1980","aankoop","Leerdam","Hedendaags glas uit eigen kollekties","1993-12-22","1994-02-13","Gent","","",""
